country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,6.7,,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,,,,,,,92.4,,,95.8,95.5,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6,,64.4,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,96.5,96.5,
Argentina,49.9,,,,,,,,,,59.5,,,,,,,,,,,72,,,,,,,,,,80.9,,90,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9,,,,,,,,,,99.4,,,,99.5,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,99.9,,,100,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,97.1,97.1,98.4,98.4,98.4,98.5,98.5,98.5,98.5,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,,,,,,,,,,95.1,,,,,,
Bahrain,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,,,,,,,,,68.3,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,
Belgium,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,,93,93.3,92.7,92.9,92.5,93,93.9,95.1,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,,,,,99.8,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,51.9,,,,,,,,,58.1,,,,,45.8,,49.8,51.7,,,58.6,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1,74.3,,,78,79.9,
Botswana,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,30.9,,,,,,14.3,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,69,,72.7,73.5,74.3,73.6,100,75.4,77.7,76.1,76.9,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,82.7,,,,,,,,,97,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,5.17,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,36.9,35.6,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,,,
Canada,80.2,,,,,,79.7,,,,,83.7,,,,,93.8,,,,,95.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,
Central African Republic,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,88.9,85.6,81.7,84.7,80.9,,85.6,,,
China,,,,,,,,,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,59.9,,,,,,,,,,,71.3,71.9,69.5,71,71.8,71.5,72.1,73,73.6,74.5,75.4,76,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,,,63.6
"Congo, Rep.",,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5,79.1,79.7,79.3,79.9,80.2,,82,81.3,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,,,97,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,,,,,,,,,,91.2,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,81.9,,,,,,,,,,,,89.1,91.7,92.5,92.6,92.5,92.5,93.1,94.8,94,94.4,93.9,93.9,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.9,99.8,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,100,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4,,,,,,,,,,,,,,,
Dominican Republic,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,,62.9,64.1,64.6,65.2,66.5,66.8,
Ecuador,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,79.6,69.7,71.9,,,79.2,81.1,82.6,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,49.5,51.8,52.7,57,54,55.5,56.4,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,24.6,,,,,
