country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,190,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
Albania,22,20,22,21,20,19,18,17,16,17,17,17,16,19,16,16,16
Algeria,74,72,74,76,76,80,78,78,74,76,77,73,73,67,72,74,70
Andorra,21,17,8.2,17,11,15,17,7,5.5,11,9.5,4.1,13,7.1,8.7,5.9,6
Angola,297,308,320,334,350,368,377,379,382,385,384,383,380,376,370,370,370
Antigua and Barbuda,5.5,1.4,5.3,1.3,5.2,7.7,5.1,2.5,1.2,3.7,8.5,7.2,3.6,12,3.5,5,3.4
Argentina,37,35,35,33,34,31,28,29,26,22,20,27,24,24,25,25,24
Armenia,54,57,59,64,69,92,75,72,71,68,61,55,53,60,57,47,44
Australia,6.3,5.8,6,5.5,6.2,5.9,6.5,6.1,6.5,6.8,6.5,6.3,6.6,6.2,6.5,6.1,6.1
Austria,17,14,15,13,13,13,12,11,10,9.1,9.1,9.1,8.4,8.4,7.5,7.5,8.2
Azerbaijan,80,75,78,57,80,88,83,79,108,133,104,125,86,78,76,71,66
Bahamas,32,24,16,14,19,17,21,15,16,15,9.9,13,9.9,10,15,18,26
Bahrain,36,31,30,39,34,36,33,33,31,32,23,20,20,18,16,14,12
Bangladesh,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
Barbados,1.3,2.5,2.1,3.7,8,4,2.1,6.7,1.2,0.83,2.5,0,1.6,1.6,2,0,1.2
Belarus,83,82,79,76,73,74,73,73,72,70,69,67,64,61,58,55,52
Belgium,14,15,13,12,12,12,11,10,10,9.7,11,10,9.4,9.3,9.1,9.5,10
Belize,49,61,59,42,35,41,34,24,33,32,52,26,29,40,24,25,38
Benin,86,83,80,78,75,73,71,69,69,69,68,67,66,64,61,60,59
Bhutan,249,220,224,206,193,192,171,182,171,197,225,208,188,176,172,153,178
Bolivia,184,179,173,168,163,158,153,148,144,139,135,131,127,123,120,117,114
Bosnia and Herzegovina,82,82,56,59,78,70,59,79,57,58,44,46,48,44,42,39,32
Botswana,914,888,855,816,773,728,684,641,598,557,518,480,445,414,385,356,326
Brazil,51,48,52,53,54,50,46,45,46,45,44,44,42,45,43,42,42
Brunei,106,73,76,68,59,51,63,64,68,64,70,67,70,60,55,58,66
Bulgaria,52,61,53,52,49,52,51,47,49,45,41,37,36,33,32,28,27
Burkina Faso,70,69,67,66,65,64,63,62,61,60,58,57,55,54,54,52,51
Burundi,290,270,250,230,211,195,181,169,160,152,144,138,133,128,126,122,118
Cambodia,575,567,556,542,527,511,496,480,465,450,436,423,411,400,390,368,345
Cameroon,309,317,321,321,318,311,303,292,282,271,260,251,242,235,220,212,203
Canada,6.4,6.6,6.1,5.9,5.6,5.5,5.4,5.3,5.4,5.3,4.6,4.8,5.4,5.3,5.1,5.2,5.2
Cape Verde,160,159,157,156,155,153,152,151,149,148,147,145,144,143,138,139,137
Central African Republic,1070,1000,923,842,762,687,620,561,511,467,431,402,378,359,375,391,407
Chad,151,152,152,152,151,151,151,151,151,151,151,151,151,151,159,152,153
Chile,23,22,18,16,19,18,18,17,17,16,16,16,16,16,16,17,16
China,109,105,102,98,95,92,89,86,83,82,77,76,74,70,68,66,64
Colombia,36,35,34,35,33,30,32,31,32,31,31,32,32,31,30,31,32
Comoros,39,38,37,37,36,36,36,35,34,33,33,34,34,34,35,35,35
"Congo, Dem. Rep.",327,327,327,327,327,327,327,327,327,327,327,327,327,326,325,324,323
"Congo, Rep.",356,379,398,413,423,426,422,413,403,393,386,383,382,382,381,379,378
Costa Rica,19,20,17,17,21,16,14,16,14,12,14,14,13,11,12,11,9.5
Cote d'Ivoire,367,350,330,309,288,267,249,233,219,207,196,186,178,170,165,159,153
Croatia,42,36,38,36,31,28,27,25,26,22,18,17,14,14,13,13,12
Cuba,12,9.5,9.2,8.6,8,7.9,7.8,7.8,8.3,7.2,8.4,8.2,7.4,7.6,7.3,7,6.9
Cyprus,4,4.8,2.4,4.1,3.4,3.8,4,4.4,5.1,5.3,6.3,5.2,6.4,4.1,3.9,6.2,5.6
Czech Republic,16,14,13,13,12,11,11,8.8,8.9,6.9,6.8,6.2,6.1,5.1,5.1,5.5,5
Denmark,13,11,8.6,8.3,7.6,8.4,7.2,7.5,6.9,6.1,6.9,7.4,7,6.7,5.9,6.5,6.1
Djibouti,692,716,535,532,477,496,473,493,559,565,613,532,493,441,304,362,335
Dominica,4.9,6.1,3.3,8.9,11,12,31,4.9,21,6.5,13,3.2,11,4.8,1.6,11,7.8
Dominican Republic,100,96,92,89,85,82,79,76,73,70,67,65,62,60,60,60,60
Ecuador,99,91,84,78,74,70,67,63,61,60,59,59,59,56,54,52,50
Egypt,26,25,24,23,22,21,21,20,19,19,18,17,17,16,15,15,14
El Salvador,32,31,33,29,29,37,34,34,35,34,34,38,41,44,44,49,60
Equatorial Guinea,96,98,101,102,104,106,109,113,117,123,129,136,144,153,162,172,181
Eritrea,177,175,173,208,181,149,123,145,116,111,108,112,114,101,83,70,74
Estonia,61,58,54,51,46,42,39,36,33,30,28,25,24,22,20,18,16
Ethiopia,421,409,393,376,358,341,325,310,296,282,268,253,239,224,207,192,177
Fiji,22,28,23,28,20,20,17,14,16,21,27,31,30,36,53,51,59
Finland,12,10,9.9,8.7,7,7.4,6.1,6.5,7.2,8.7,6.6,6.7,5.5,5.6,5.3,5.6,4.7
France,12,11,11,12,9.8,9.5,9.4,10,10,9.1,8.8,8.7,8.6,8.6,8.2,8.1,7.7
Gabon,515,548,574,590,596,592,576,553,526,499,473,453,436,423,444,465,485
Gambia,185,189,192,193,192,191,189,186,183,180,178,176,175,173,174,174,174
Georgia,254,243,228,210,192,175,161,149,140,133,127,122,119,116,106,99,92
Germany,13,9.8,9.8,9.9,8.7,8,7.3,6.6,5.9,5.9,5.8,5.8,5.7,5.9,6.1,8,8.1
Ghana,216,214,212,209,206,203,199,196,191,187,183,178,173,168,165,160,156
Greece,7.3,5.2,5.8,6.1,7.5,7.1,6.3,6.2,5.9,5.4,4.5,4.6,5.2,5,4.9,4.5,4.4
Grenada,0,0.56,1.1,2.2,2.2,1.7,1.1,3.3,5.5,5.5,4.4,2.2,1.1,0.55,0,5.4,6.4
Guatemala,31,25,30,26,32,36,34,29,29,25,28,25,28,27,25,26,24
Guinea,228,224,221,218,214,210,206,200,195,190,186,183,180,177,177,177,176
